,unnamed: 0,age,joblevel,housingtype,savingaccounts,checkingaccount,creditamount,creditduration,creditpurpose,worklifebalance,risk
326,326,49,2,2,0,0,5801,12,4,1,1
986,986,33,2,1,1,3,6289,42,0,1,1
859,859,26,2,2,2,0,3577,9,1,2,1
725,725,41,1,1,4,0,250,6,1,2,1
351,351,29,2,1,1,2,959,9,4,0,0
965,965,26,2,1,0,2,1715,30,5,0,1
0,0,67,2,1,0,1,1169,6,5,1,1
754,754,55,2,0,4,0,1555,12,6,1,0
283,283,63,2,1,0,0,1520,15,4,2,1
604,604,23,2,1,1,3,1275,10,4,1,1
218,218,24,1,2,1,1,3021,24,4,1,1
281,281,50,2,1,1,0,1574,12,4,0,1
428,428,20,2,1,1,0,1313,9,4,1,1
896,896,28,3,2,1,1,2606,21,5,2,1
670,670,27,1,1,2,0,4139,24,0,2,1
923,923,30,2,2,1,2,2002,12,1,0,1
808,808,55,3,0,1,2,9283,42,1,1,1
887,887,23,2,1,1,2,15672,48,0,1,0
577,577,33,2,1,0,0,1927,24,3,1,1
853,853,32,1,0,1,1,1442,18,1,2,0
943,943,42,1,1,1,0,1455,4,1,1,1
517,517,23,2,2,1,0,7127,36,4,1,0
932,932,30,2,1,1,0,1224,9,1,1,1
170,170,33,2,2,1,1,950,15,1,2,0
167,167,20,2,1,4,2,1577,11,4,0,1
962,962,29,2,1,0,0,3556,15,1,1,1
78,78,39,1,1,0,0,9436,54,1,2,1
594,594,40,3,1,0,1,1358,24,7,2,0
786,786,40,2,1,3,0,2675,22,5,1,1
541,541,60,2,0,1,0,2032,24,1,2,1
92,92,33,1,1,0,0,797,12,5,0,0
526,526,31,2,1,2,0,1532,15,3,2,1
258,258,23,2,1,2,0,3812,15,1,0,1
407,407,27,2,1,1,1,1053,15,5,1,1
358,358,28,2,1,1,0,776,12,5,2,1
104,104,26,2,2,0,0,2445,12,1,1,1
276,276,26,2,1,1,0,2404,18,5,1,1
242,242,24,2,0,1,1,4605,48,1,1,0
16,16,53,2,1,0,0,2424,24,5,2,1
809,809,26,0,2,1,2,1778,15,1,1,0
367,367,22,2,2,1,1,3650,18,4,0,1
827,827,36,2,1,1,0,4165,18,0,2,0
584,584,52,3,0,0,0,2133,12,1,1,1
176,176,42,2,1,1,1,2577,12,4,0,1
714,714,27,3,1,1,2,14027,60,1,0,0
832,832,29,2,2,1,1,11816,45,0,1,0
160,160,36,2,1,2,0,2872,24,5,2,1
621,621,32,2,1,1,0,1530,18,1,1,0
917,917,68,3,1,1,1,14896,6,1,1,0
482,482,57,2,2,4,1,3622,30,4,0,1
504,504,24,2,2,1,1,1207,24,1,1,0
551,551,45,1,1,3,0,1750,6,5,1,1
437,437,37,2,1,4,0,1287,24,1,2,1
330,330,75,3,0,1,1,6615,24,1,0,1
757,757,39,2,0,0,3,1271,15,5,0,0
807,807,65,2,1,0,0,930,12,5,1,1
643,643,33,2,1,1,0,1851,24,5,1,1
692,692,29,2,1,2,2,2896,24,5,1,1
291,291,28,3,2,1,2,9398,36,1,1,0
937,937,30,3,2,1,2,2063,6,5,0,1
840,840,29,2,1,1,1,5179,36,4,2,0
502,502,49,2,1,2,3,1126,9,5,1,1
499,499,28,2,1,2,3,1323,6,1,1,1
29,29,63,2,1,1,1,6836,60,0,0,0
744,744,30,3,1,0,1,14179,39,4,1,1
949,949,31,2,1,2,0,3621,24,5,1,0
821,821,24,2,1,1,3,3016,12,5,2,1
970,970,22,2,1,2,2,1514,15,6,1,1
429,429,55,0,0,1,1,1190,18,6,0,0
369,369,40,2,2,1,2,3001,18,4,1,1
590,590,58,1,1,1,1,385,12,5,1,1
355,355,23,1,1,1,2,1246,24,1,1,0
560,560,49,2,0,0,1,2964,24,1,0,1
408,408,26,3,1,3,0,3235,24,5,2,1
513,513,20,2,2,1,2,585,12,5,1,1
539,539,45,1,1,1,3,3049,18,4,2,1
488,488,35,1,2,2,0,1418,10,1,1,1
658,658,28,2,1,1,2,4221,30,0,1,1
934,934,23,2,1,1,1,1498,12,5,0,1
172,172,34,3,1,1,2,2064,24,4,2,0
465,465,63,2,1,1,1,2924,24,1,2,1
334,334,23,2,2,1,1,4110,24,4,1,0
617,617,37,2,2,1,1,3676,6,1,1,1
272,272,36,3,0,0,2,12169,48,1,1,1
524,524,26,1,1,1,2,1113,18,5,1,1
485,485,47,3,1,1,2,1209,6,1,1,0
26,26,39,1,1,1,0,426,6,5,2,1
129,129,29,2,1,1,1,3499,12,1,0,0
602,602,34,1,0,1,2,1837,24,3,1,0
293,293,56,2,0,1,3,4796,42,1,1,1
86,86,27,2,1,1,2,1295,18,4,0,1
505,505,27,1,1,0,0,1309,10,1,1,0
881,881,48,2,0,0,0,9277,24,1,1,1
137,137,66,1,1,3,2,766,12,5,1,0
668,668,43,2,2,1,1,4843,12,1,2,0
688,688,35,2,1,2,0,2753,9,5,0,1
494,494,39,1,2,1,1,2122,12,1,1,1
151,151,38,2,1,1,0,1924,10,5,1,1
14,14,28,2,2,1,1,1403,15,1,1,1
771,771,25,3,1,1,1,8065,36,3,2,0
403,403,27,1,1,1,0,802,14,1,0,1
43,43,24,2,2,2,1,6187,30,1,2,1
629,629,64,1,1,0,0,3832,9,3,0,1
57,57,31,2,1,1,0,9566,36,5,1,1
119,119,36,3,1,3,2,2366,12,1,1,1
598,598,31,2,1,1,0,2775,18,1,1,0
684,684,31,1,1,2,2,9857,36,0,0,1
307,307,33,1,1,2,1,727,12,5,0,0
196,196,28,2,1,1,0,1382,6,5,0,1
115,115,47,2,1,0,0,3578,48,5,1,1
984,984,30,1,1,1,0,2028,24,4,2,1
556,556,28,2,1,2,2,2278,18,1,2,0
562,562,29,2,1,1,3,683,6,5,1,1
339,339,31,1,1,1,2,1521,10,4,1,1
432,432,36,3,0,1,1,1872,6,4,2,1
19,19,31,2,1,3,0,3430,24,5,1,1
416,416,33,1,1,1,1,2579,12,1,0,0
449,449,61,2,1,4,2,1512,15,6,1,0
784,784,60,3,1,0,2,6468,20,1,0,1
956,956,49,1,1,0,3,3656,30,5,2,1
237,237,61,1,2,2,2,2767,21,0,2,0
105,105,39,3,1,1,2,11938,24,7,0,0
741,741,23,1,1,1,2,1048,10,5,1,1
769,769,63,1,1,1,0,1655,12,5,1,1
469,469,35,1,1,1,0,4679,24,1,0,1
903,903,40,2,2,0,0,1386,15,5,2,1
801,801,48,1,2,1,2,1795,18,5,1,1
640,640,27,0,1,1,1,750,18,3,1,0
464,464,34,2,1,1,0,1950,18,0,2,1
234,234,42,1,1,1,0,1544,4,5,1,1
471,471,23,2,1,1,1,448,6,3,0,0
622,622,38,2,1,0,0,3914,48,0,0,0
759,759,35,2,1,1,1,691,12,1,1,0
54,54,57,2,0,1,2,2225,36,1,0,0
737,737,35,1,1,2,1,4380,18,1,1,1
904,904,36,3,1,1,0,1278,24,5,0,1
542,542,31,2,1,0,1,6350,30,4,1,0
498,498,32,1,1,1,2,1301,18,5,2,1
693,693,44,1,1,0,1,4716,6,1,2,1
830,830,44,2,1,3,0,2375,24,0,1,1
614,614,22,2,1,1,0,1808,18,4,2,0
288,288,49,2,1,1,2,1092,12,5,1,1
966,966,23,1,1,3,2,2520,27,5,0,0
360,360,61,2,0,0,2,1239,18,3,1,1
497,497,40,2,1,1,0,1585,24,4,1,1
230,230,26,2,1,1,3,4210,36,5,0,0
728,728,59,2,2,1,2,6416,48,0,1,0
433,433,33,2,1,1,0,2058,24,6,1,1
553,553,27,2,1,2,2,1995,12,1,1,1
304,304,44,2,0,3,0,10127,48,1,0,0
706,706,24,2,1,2,2,6560,48,1,1,0
605,605,22,2,1,3,1,2828,24,4,2,1
672,672,42,3,1,1,0,10366,60,1,1,1
145,145,30,2,1,2,2,3566,48,0,0,1
287,287,31,3,0,2,2,7582,48,7,2,1
251,251,46,1,1,1,3,2251,12,4,2,1
549,549,35,2,0,0,0,8858,48,1,1,1
68,68,37,2,0,1,0,1819,36,3,1,0
114,114,35,2,1,3,1,1680,12,5,1,1
210,210,33,2,1,0,0,3074,9,5,1,1
817,817,24,2,2,1,0,1554,6,5,1,1
836,836,21,2,1,0,0,886,12,5,1,1
425,425,21,2,2,1,2,2779,18,1,0,1
990,990,37,1,1,0,0,3565,12,3,1,1
935,935,30,3,1,2,2,1919,30,5,1,0
227,227,53,3,0,1,1,7865,12,4,0,0
294,294,46,3,1,0,0,7629,48,0,2,1
652,652,45,2,1,1,1,2303,24,1,1,0
289,289,48,2,1,1,1,1024,24,5,1,0
66,66,29,2,1,1,0,2171,12,5,2,1
589,589,60,2,1,1,1,2246,12,4,0,0
385,385,25,2,1,1,0,2238,18,5,1,1
136,136,27,2,1,4,0,8613,27,1,1,1
364,364,25,0,1,1,1,2473,18,4,1,0
686,686,27,2,1,0,3,1347,10,5,2,1
756,756,74,0,1,1,3,1299,6,1,1,1
101,101,24,2,2,1,2,2323,36,5,0,1
110,110,31,2,1,2,2,1449,6,0,0,1
857,857,28,2,0,1,0,3343,15,4,1,1
392,392,39,3,0,1,1,3249,36,1,1,1
574,574,27,1,1,1,2,1082,9,5,1,1
208,208,21,1,1,1,1,6568,24,0,2,1
927,927,39,2,0,1,1,10297,48,1,1,0
858,858,29,2,1,1,1,3959,15,1,0,0
950,950,40,0,1,1,2,3590,18,0,2,1
548,548,24,1,1,1,1,626,12,5,1,0
255,255,27,1,1,0,2,7418,60,5,1,1
749,749,33,2,1,1,0,3029,15,1,1,1
799,799,35,0,1,0,2,1549,9,1,1,1
886,886,34,2,1,0,2,2825,24,0,2,1
79,79,22,2,1,1,2,3832,30,4,0,1
18,18,44,3,0,1,2,12579,24,1,1,0
37,37,37,2,1,1,3,2100,18,5,1,0
97,97,34,2,1,2,2,2622,18,0,2,1
410,410,20,2,1,1,2,1967,24,5,1,1
332,332,24,3,1,2,2,7408,60,1,1,0
583,583,33,1,2,1,2,2384,36,6,1,0
393,393,31,2,1,1,1,1957,6,5,2,1
426,426,29,2,1,1,0,2743,28,5,2,1
123,123,63,2,0,1,3,781,10,1,1,1
268,268,45,3,1,1,1,8978,14,1,1,0
770,770,26,2,2,0,1,2812,24,1,0,1
646,646,32,2,1,1,1,4583,30,4,0,1
933,933,42,2,1,3,0,522,12,5,2,1
813,813,54,2,1,1,1,3051,48,2,1,0
58,58,23,3,1,1,3,1961,18,1,0,1
372,372,23,2,2,1,0,2146,10,4,0,1
618,618,21,2,2,2,2,3441,30,4,1,0
885,885,53,2,1,1,1,795,12,3,1,0
459,459,32,2,1,1,0,4594,18,5,1,1
455,455,29,3,1,1,0,2679,24,1,1,1
849,849,57,1,1,1,1,709,12,5,2,0
185,185,31,2,1,1,0,1360,15,5,1,1
715,715,63,2,1,0,0,7596,30,1,2,1
959,959,30,2,0,2,2,3069,24,4,0,1
628,628,36,2,1,3,0,4042,42,4,0,1
313,313,25,1,1,1,2,685,12,1,1,0
84,84,52,1,1,1,1,2315,10,5,1,1
404,404,43,2,1,0,2,2899,18,1,2,1
707,707,25,2,2,1,2,2969,12,4,0,0
28,28,34,2,1,1,2,2415,7,5,1,1
762,762,24,1,1,1,1,2214,12,5,0,1
142,142,27,3,1,1,1,3416,27,5,1,1
961,961,47,2,1,1,2,2353,21,1,1,1
578,578,27,2,1,1,2,2820,36,1,1,0
919,919,39,3,2,1,1,3345,24,4,0,0
13,13,60,1,1,1,1,1199,24,1,0,0
508,508,28,2,1,1,0,1413,24,5,2,1
158,158,38,2,1,2,2,3512,24,1,1,1
38,38,37,2,1,1,3,1225,10,2,0,1
46,46,39,2,1,3,0,2299,36,5,1,1
312,312,26,2,1,1,3,3749,24,4,1,1
780,780,25,2,1,1,2,4933,39,5,0,0
445,445,41,1,2,0,0,1244,9,3,0,1
902,902,42,2,0,0,0,10477,36,1,1,1
42,42,44,1,1,1,2,6204,18,6,2,1
657,657,37,2,1,0,0,10222,48,5,2,1
515,515,37,2,1,1,1,609,6,1,2,1
109,109,35,2,1,3,2,1410,14,0,0,1
507,507,34,3,1,2,2,6850,15,1,0,0
147,147,51,2,1,2,0,682,12,1,2,1
765,765,40,1,1,1,2,1155,12,5,1,1
126,126,40,1,1,1,1,701,12,5,0,1
581,581,49,1,1,1,2,3124,12,1,2,1
772,772,36,3,1,1,0,3275,21,1,0,1
436,436,23,1,2,3,0,660,6,6,1,1
466,466,29,1,2,1,1,1659,24,5,2,0
241,241,51,2,1,1,0,1595,6,5,1,1
632,632,23,2,1,0,2,1444,15,5,1,1
522,522,53,2,0,1,1,7119,48,4,1,0
791,791,41,3,1,0,0,6313,24,1,0,1
625,625,35,2,1,0,0,1979,15,5,1,1
637,637,21,2,1,1,0,15653,60,5,1,1
591,591,42,2,2,0,2,1965,24,1,0,1
213,213,66,3,1,1,3,1908,30,0,2,0
564,564,37,3,1,0,2,4712,24,0,2,1
833,833,42,2,1,0,2,5084,24,5,1,1
90,90,56,2,1,1,0,618,12,5,2,1
2,2,49,1,1,1,0,2096,12,3,2,1
745,745,28,1,1,1,1,1797,13,0,1,1
233,233,25,1,1,1,2,866,18,5,2,1
996,996,40,3,1,1,1,3857,30,1,0,1
897,897,35,2,1,4,0,1592,12,4,2,1
939,939,46,3,1,0,0,6842,24,1,0,1
9,9,28,3,1,1,2,5234,30,1,1,0
146,146,39,2,1,1,1,860,6,1,1,1
275,275,32,2,1,1,0,2697,9,5,2,1
533,533,26,2,1,2,0,1311,24,5,1,1
767,767,31,2,2,0,0,2901,10,1,2,1
789,789,27,2,1,1,1,5998,40,3,0,0
140,140,27,0,1,4,3,709,6,1,2,1
317,317,48,1,1,0,2,4351,24,4,0,1
388,388,27,2,1,3,2,2326,15,0,2,1
971,971,43,1,1,1,0,7393,24,1,1,1
776,776,37,2,1,1,0,3535,36,1,1,1
264,264,32,1,1,1,0,1231,10,1,2,1
521,521,24,2,1,1,1,3190,18,5,1,0
545,545,43,2,0,1,1,1333,24,1,2,0
592,592,36,1,1,4,0,1572,21,0,1,1
595,595,32,1,1,2,2,931,6,1,0,0
877,877,28,2,1,1,0,3595,36,5,1,1
130,130,24,2,1,0,2,8487,48,1,1,1
345,345,43,1,1,1,0,1459,15,5,2,1
69,69,25,2,1,0,0,2394,36,5,0,1
742,742,41,2,1,0,0,3160,21,5,0,1
314,314,29,1,1,0,3,1494,4,1,0,1
800,800,54,2,0,1,0,1597,24,3,1,1
247,247,35,2,2,2,0,1204,6,1,1,1
359,359,23,2,2,1,1,2406,30,4,2,0
59,59,23,1,2,1,1,6229,36,4,1,0
271,271,37,2,2,3,0,1402,12,4,2,1
85,85,29,3,1,1,0,1412,12,0,2,1
782,782,31,1,1,1,2,1410,12,3,0,1
319,319,27,1,1,1,1,3643,15,4,1,1
239,239,39,2,1,1,1,2522,30,5,1,1
285,285,35,1,1,1,1,10722,47,1,0,1
22,22,48,1,2,1,1,2241,10,1,0,1
21,21,44,2,2,3,1,2647,6,5,1,1
451,451,29,2,1,1,0,518,6,5,1,1
229,229,22,2,0,1,1,3149,24,4,1,1
928,928,58,2,1,0,0,1867,30,5,0,1
825,825,30,2,1,1,1,1602,21,1,2,1
150,150,42,2,0,2,0,1346,6,5,2,1
458,458,27,2,1,1,1,343,6,2,1,1
191,191,34,1,0,2,2,3844,48,0,0,0
45,45,35,3,1,1,0,1393,11,1,1,1
698,698,24,2,1,1,0,1800,18,5,1,1
309,309,22,1,2,1,2,276,9,1,1,1
149,149,46,2,1,4,0,1582,18,5,1,1
854,854,45,2,1,1,0,10875,36,1,2,1
224,224,30,2,1,1,0,4657,15,1,1,1
8,8,61,1,1,4,0,3059,12,5,0,1
298,298,43,2,1,1,0,2515,18,4,2,1
568,568,41,2,1,0,2,3979,48,5,0,1
865,865,20,2,2,3,0,2221,15,4,1,1
823,823,47,1,1,1,1,731,8,1,0,1
187,187,68,0,0,1,2,1175,16,1,1,1
699,699,40,3,2,1,3,1905,15,3,0,1
709,709,37,1,1,1,2,2118,9,5,1,1
328,328,31,2,1,1,3,4473,36,5,2,1
900,900,43,2,2,1,1,2625,16,1,0,0
608,608,33,2,1,1,0,2051,18,5,1,1
349,349,32,2,0,4,2,1136,9,3,2,0
400,400,39,2,1,1,0,1473,18,5,1,1
40,40,30,3,1,3,0,2333,30,5,1,1
96,96,61,2,1,0,0,2012,12,3,2,1
243,243,27,2,1,1,0,1185,12,0,1,1
593,593,20,1,2,1,2,2718,24,1,1,0
422,422,47,1,1,1,2,958,12,1,1,1
398,398,46,2,2,1,2,1223,12,1,0,0
586,586,36,2,2,1,1,2799,9,1,2,1
181,181,30,3,1,1,2,4455,36,0,1,0
322,322,34,3,0,1,1,2910,24,1,0,1
124,124,27,2,2,0,2,1924,18,4,1,0
702,702,47,2,0,2,3,1377,24,5,0,1
88,88,30,3,1,2,1,2249,18,1,0,1
3,3,45,2,0,1,1,7882,42,4,1,1
41,41,26,2,1,3,2,1158,12,5,0,1
724,724,21,2,2,1,0,2570,27,1,1,0
644,644,32,3,1,1,1,1880,18,5,1,1
888,888,34,3,1,1,0,6614,36,1,0,1
462,462,34,3,2,1,2,3017,12,4,2,1
279,279,29,3,2,2,0,1901,24,5,0,1
819,819,26,2,1,1,1,1345,18,5,1,0
111,111,23,2,2,1,3,392,15,3,1,1
300,300,54,0,1,1,0,672,6,1,1,1
852,852,35,2,0,1,0,1471,15,5,1,1
327,327,34,2,1,4,0,1525,24,1,1,1
921,921,37,3,1,3,0,12749,48,5,2,1
623,623,22,2,2,1,1,1858,12,4,1,1
415,415,35,2,1,1,0,5842,36,1,2,1
916,916,32,2,1,2,0,2848,10,1,0,1
419,419,33,2,1,0,2,1042,18,1,1,0
582,582,26,2,2,1,0,1388,9,4,1,1
75,75,66,3,0,1,1,1526,12,1,2,1
920,920,28,2,1,1,0,1817,18,4,1,1
113,113,25,2,1,1,0,7855,36,1,1,0
739,739,26,1,2,2,2,4280,30,0,1,0
734,734,37,2,1,1,0,3380,4,1,1,1
529,529,41,1,1,1,1,662,6,1,1,1
995,995,31,1,1,1,0,1736,12,4,0,1
174,174,26,2,1,1,1,3414,21,3,2,0
820,820,27,2,1,1,0,1101,12,1,2,1
363,363,21,2,2,1,0,1766,6,4,1,1
377,377,36,2,0,0,0,846,7,5,1,1
601,601,30,2,1,1,2,918,9,4,2,0
794,794,32,2,2,3,0,3062,24,4,2,1
62,62,61,3,0,1,2,1953,36,0,0,0
906,906,24,1,1,0,1,3763,21,1,1,1
343,343,33,3,1,1,2,4439,18,0,0,1
731,731,21,1,2,1,1,1987,24,5,1,0
899,899,42,2,1,1,1,4153,18,4,1,0
423,423,34,3,1,2,0,1591,21,4,1,1
72,72,51,3,0,1,1,1164,8,7,2,1
708,708,25,2,1,1,2,1206,9,5,2,1
121,121,41,3,2,1,0,3868,24,1,2,1
569,569,31,2,1,1,1,6758,48,5,1,0
719,719,31,2,1,2,2,6148,20,1,1,1
565,565,23,2,2,2,2,1553,24,5,1,1
733,733,28,2,2,4,0,2603,24,1,0,1
537,537,37,2,1,1,2,3612,18,4,1,1
879,879,36,2,1,0,0,6742,30,5,1,1
953,953,26,3,1,1,0,10974,36,4,1,0
960,960,30,2,2,1,0,1740,6,5,1,1
303,303,49,2,1,1,1,1038,10,1,1,1
417,417,23,2,2,0,1,8471,18,3,0,1
905,905,20,3,2,1,1,1107,12,5,1,1
353,353,28,2,2,1,1,6199,12,5,1,0
490,490,26,2,1,1,0,1934,12,5,0,1
955,955,57,3,2,4,1,1231,24,5,0,1
492,492,27,2,1,2,0,1237,6,5,0,1
163,163,70,3,0,1,2,7308,10,1,1,1
290,290,26,2,1,1,0,1076,12,0,2,1
226,226,27,2,1,4,2,10961,48,5,0,0
761,761,24,2,2,1,1,2124,18,4,2,0
161,161,30,2,1,1,0,1055,18,1,0,1
203,203,21,2,2,1,1,902,12,3,0,0
945,945,30,2,1,3,2,8358,48,1,1,1
249,249,22,2,2,1,0,433,18,5,1,0
681,681,37,2,0,0,0,2279,12,5,1,1
277,277,49,1,1,0,1,1262,12,4,2,1
701,701,46,2,0,1,1,6331,48,1,0,0
74,74,40,3,1,0,1,1977,36,3,1,0
223,223,32,2,1,0,0,2978,24,0,2,1
384,384,26,1,1,2,0,4272,30,0,1,1
503,503,38,2,1,2,2,1216,24,5,1,0
182,182,40,1,1,0,1,1647,21,1,2,0
712,712,46,3,1,0,0,2476,21,1,2,1
889,889,40,2,2,0,0,7824,28,1,2,1
775,775,25,2,2,0,1,1371,24,1,0,0
180,180,28,2,1,1,0,9572,36,0,1,0
132,132,27,1,1,1,0,2708,15,4,2,1
399,399,43,1,1,4,0,1516,24,5,1,1
766,766,31,1,1,1,1,3108,30,4,2,0
39,39,24,2,1,1,2,458,9,5,0,1
73,73,41,1,1,1,2,5954,42,0,2,1
558,558,27,2,1,1,1,3552,24,4,2,0
729,729,36,2,1,4,3,1275,24,0,1,1
338,338,28,2,1,1,1,4169,24,4,2,1
685,685,34,2,0,0,0,6527,60,1,0,1
613,613,22,2,2,1,1,3632,24,1,1,1
689,689,31,2,1,4,1,3651,12,1,0,1
98,98,36,2,1,1,2,2337,36,5,2,1
30,30,36,2,1,4,2,1913,18,0,1,1
173,173,33,2,1,1,2,1414,8,5,1,1
838,838,63,2,1,1,1,2957,24,1,1,1
982,982,28,3,1,2,3,2923,21,1,0,1
296,296,20,2,2,0,0,4675,12,1,2,1
20,20,48,2,1,1,0,2134,9,1,1,1
913,913,28,2,1,4,0,2142,11,0,1,1
535,535,33,2,2,1,3,2319,21,3,2,0
926,926,21,2,2,1,1,1049,18,4,2,1
409,409,28,2,1,3,3,939,12,1,0,0
846,846,68,2,2,0,0,6761,18,1,1,0
479,479,44,2,1,1,1,1478,15,4,1,1
107,107,32,2,1,1,2,6078,12,1,2,1
82,82,24,1,2,2,0,1568,18,0,2,1
883,883,65,0,1,1,0,1098,18,5,2,1
118,118,23,2,1,3,1,4281,33,4,0,0
679,679,26,2,1,1,0,1453,18,5,0,1
527,527,42,1,1,1,0,1503,4,5,0,1
509,509,45,3,1,2,0,8588,39,1,1,1
844,844,47,2,1,1,0,3422,18,4,0,1
987,987,64,2,1,2,0,1409,13,5,1,1
867,867,42,2,1,1,0,3331,12,4,1,1
851,851,43,2,1,0,0,4042,24,1,1,1
329,329,28,2,1,1,2,1068,6,5,1,1
